# BEGIN PLOT
DrawOnly=/REF/CMS_2016_I1459051/d05-x01-y01 /nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d05-x01-y01
Title=Inclusive AK7 jets, $2.0 < |y| < 2.5$
RatioPlotReference=/REF/CMS_2016_I1459051/d05-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=2
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=0.1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2016_I1459051/d05-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2016_I1459051/d05-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	3.612545e+03	7.419047e+02	7.419047e+02
1.330000e+02	1.530000e+02	2.252004e+03	3.527572e+02	3.527572e+02
1.530000e+02	1.740000e+02	1.251506e+03	2.187778e+02	2.187778e+02
1.740000e+02	1.960000e+02	5.874578e+02	1.156478e+02	1.156478e+02
1.960000e+02	2.200000e+02	2.859510e+02	6.455028e+01	6.455028e+01
2.200000e+02	2.450000e+02	1.344312e+02	2.257325e+01	2.257325e+01
2.450000e+02	2.720000e+02	6.886325e+01	1.279001e+01	1.279001e+01
2.720000e+02	3.000000e+02	3.124422e+01	5.731954e+00	5.731954e+00
3.000000e+02	3.300000e+02	2.100884e+01	3.431989e+00	3.431989e+00
3.300000e+02	3.620000e+02	1.267035e+01	2.141112e+00	2.141112e+00
3.620000e+02	3.950000e+02	6.271997e+00	1.105647e+00	1.105647e+00
3.950000e+02	4.300000e+02	3.640268e+00	6.753391e-01	6.753391e-01
4.300000e+02	4.680000e+02	1.932699e+00	3.525945e-01	3.525945e-01
4.680000e+02	5.070000e+02	9.558208e-01	1.893044e-01	1.893044e-01
5.070000e+02	5.480000e+02	4.881366e-01	9.517194e-02	9.517194e-02
5.480000e+02	5.920000e+02	2.920254e-01	6.164616e-02	6.164616e-02
5.920000e+02	6.380000e+02	1.311035e-01	2.852452e-02	2.852452e-02
6.380000e+02	6.860000e+02	6.261501e-02	1.396065e-02	1.396065e-02
6.860000e+02	7.370000e+02	3.800097e-02	9.936837e-03	9.936837e-03
7.370000e+02	7.900000e+02	1.900858e-02	4.695956e-03	4.695956e-03
7.900000e+02	8.460000e+02	8.749591e-03	2.529349e-03	2.529349e-03
8.460000e+02	9.050000e+02	2.526664e-03	9.423273e-04	9.423273e-04
9.050000e+02	9.670000e+02	1.498447e-03	6.934283e-04	6.934283e-04
9.670000e+02	1.032000e+03	1.111701e-03	5.685206e-04	5.685206e-04
# END HISTO1D

# BEGIN HISTO1D /nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d05-x01-y01
IsRef=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d05-x01-y01
ScaledBy=2.0401330901222628e-07
Title=PowhegValidation
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	4.962671e+03	6.233039e+01	6.233039e+01
1.330000e+02	1.530000e+02	2.195875e+03	1.393484e+01	1.393484e+01
1.530000e+02	1.740000e+02	1.032888e+03	6.550612e+00	6.550612e+00
1.740000e+02	1.960000e+02	5.195550e+02	3.820776e+00	3.820776e+00
1.960000e+02	2.200000e+02	2.659345e+02	1.646729e+00	1.646729e+00
2.200000e+02	2.450000e+02	1.355086e+02	8.841819e-01	8.841819e-01
2.450000e+02	2.720000e+02	7.183074e+01	4.654057e-01	4.654057e-01
2.720000e+02	3.000000e+02	3.844939e+01	3.420659e-01	3.420659e-01
3.000000e+02	3.300000e+02	2.076265e+01	2.001428e-01	2.001428e-01
3.300000e+02	3.620000e+02	1.127484e+01	1.056967e-01	1.056967e-01
3.620000e+02	3.950000e+02	6.198809e+00	7.096061e-02	7.096061e-02
3.950000e+02	4.300000e+02	3.321003e+00	4.488775e-02	4.488775e-02
4.300000e+02	4.680000e+02	1.799680e+00	3.277993e-02	3.277993e-02
4.680000e+02	5.070000e+02	9.414305e-01	1.953692e-02	1.953692e-02
5.070000e+02	5.480000e+02	5.030876e-01	1.334125e-02	1.334125e-02
5.480000e+02	5.920000e+02	2.472991e-01	8.494930e-03	8.494930e-03
5.920000e+02	6.380000e+02	1.187935e-01	5.589672e-03	5.589672e-03
6.380000e+02	6.860000e+02	6.485631e-02	3.862460e-03	3.862460e-03
6.860000e+02	7.370000e+02	2.983880e-02	2.471184e-03	2.471184e-03
7.370000e+02	7.900000e+02	1.410716e-02	1.621149e-03	1.621149e-03
7.900000e+02	8.460000e+02	3.894489e-03	8.132602e-04	8.132602e-04
8.460000e+02	9.050000e+02	4.073185e-03	8.000330e-04	8.000330e-04
9.050000e+02	9.670000e+02	1.448046e-03	4.587681e-04	4.587681e-04
9.670000e+02	1.032000e+03	7.842218e-04	3.201913e-04	3.201913e-04
# END HISTO1D

