# BEGIN PLOT
DrawOnly=/REF/CMS_2016_I1459051/d06-x01-y01 /nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d06-x01-y01
Title=Inclusive AK7 jets, $2.5 < |y| < 3.0$
RatioPlotReference=/REF/CMS_2016_I1459051/d06-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=2
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=0.1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2016_I1459051/d06-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2016_I1459051/d06-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	3.311825e+03	9.968211e+02	9.968211e+02
1.330000e+02	1.530000e+02	1.478185e+03	4.016950e+02	4.016950e+02
1.530000e+02	1.740000e+02	6.999442e+02	2.079579e+02	2.079579e+02
1.740000e+02	1.960000e+02	3.122140e+02	1.012159e+02	1.012159e+02
1.960000e+02	2.200000e+02	1.439716e+02	5.188412e+01	5.188412e+01
2.200000e+02	2.450000e+02	7.298935e+01	2.155508e+01	2.155508e+01
2.450000e+02	2.720000e+02	3.813035e+01	1.197656e+01	1.197656e+01
2.720000e+02	3.000000e+02	1.853291e+01	6.218958e+00	6.218958e+00
3.000000e+02	3.300000e+02	8.292831e+00	2.452819e+00	2.452819e+00
3.300000e+02	3.620000e+02	3.809844e+00	1.183984e+00	1.183984e+00
3.620000e+02	3.950000e+02	1.682632e+00	5.417504e-01	5.417504e-01
3.950000e+02	4.300000e+02	8.807414e-01	2.980287e-01	2.980287e-01
4.300000e+02	4.680000e+02	3.454012e-01	1.149877e-01	1.149877e-01
4.680000e+02	5.070000e+02	1.130397e-01	4.120612e-02	4.120612e-02
5.070000e+02	5.480000e+02	5.886082e-02	2.147827e-02	2.147827e-02
5.480000e+02	5.920000e+02	3.254388e-02	1.318687e-02	1.318687e-02
5.920000e+02	6.380000e+02	7.256611e-03	3.748273e-03	3.748273e-03
6.380000e+02	6.860000e+02	1.801518e-03	1.012944e-03	1.012944e-03
6.860000e+02	7.370000e+02	6.730899e-04	5.230248e-04	5.230248e-04
7.370000e+02	7.900000e+02	8.026697e-05	1.329144e-04	1.329144e-04
# END HISTO1D

# BEGIN HISTO1D /nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d06-x01-y01
IsRef=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d06-x01-y01
ScaledBy=2.0401330901222628e-07
Title=PowhegValidation
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	3.341699e+03	2.439372e+01	2.439372e+01
1.330000e+02	1.530000e+02	1.442308e+03	1.149558e+01	1.149558e+01
1.530000e+02	1.740000e+02	6.604410e+02	7.234382e+00	7.234382e+00
1.740000e+02	1.960000e+02	3.089875e+02	2.188361e+00	2.188361e+00
1.960000e+02	2.200000e+02	1.499718e+02	1.209994e+00	1.209994e+00
2.200000e+02	2.450000e+02	7.003808e+01	5.607596e-01	5.607596e-01
2.450000e+02	2.720000e+02	3.424693e+01	3.113675e-01	3.113675e-01
2.720000e+02	3.000000e+02	1.627198e+01	1.875990e-01	1.875990e-01
3.000000e+02	3.300000e+02	7.948133e+00	1.251670e-01	1.251670e-01
3.300000e+02	3.620000e+02	3.725966e+00	6.715485e-02	6.715485e-02
3.620000e+02	3.950000e+02	1.661587e+00	3.812819e-02	3.812819e-02
3.950000e+02	4.300000e+02	7.804443e-01	2.218102e-02	2.218102e-02
4.300000e+02	4.680000e+02	3.172266e-01	1.218554e-02	1.218554e-02
4.680000e+02	5.070000e+02	1.366294e-01	7.397519e-03	7.397519e-03
5.070000e+02	5.480000e+02	5.646920e-02	4.333085e-03	4.333085e-03
5.480000e+02	5.920000e+02	1.963892e-02	2.528070e-03	2.528070e-03
5.920000e+02	6.380000e+02	8.251226e-03	1.442635e-03	1.442635e-03
6.380000e+02	6.860000e+02	2.728388e-03	7.895789e-04	7.895789e-04
6.860000e+02	7.370000e+02	6.009512e-04	3.469833e-04	3.469833e-04
7.370000e+02	7.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

