# BEGIN PLOT
DrawOnly=/REF/CMS_2016_I1459051/d09-x01-y01 /nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d09-x01-y01
Title=Inclusive AK4 jets, $0.5 < |y| < 1.0$
RatioPlotReference=/REF/CMS_2016_I1459051/d09-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=2
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=0.1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2016_I1459051/d09-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2016_I1459051/d09-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	5.591624e+03	7.663446e+02	7.663446e+02
1.330000e+02	1.530000e+02	2.752736e+03	2.725435e+02	2.725435e+02
1.530000e+02	1.740000e+02	1.383414e+03	1.605487e+02	1.605487e+02
1.740000e+02	1.960000e+02	7.223568e+02	9.892092e+01	9.892092e+01
1.960000e+02	2.200000e+02	3.871942e+02	5.738174e+01	5.738174e+01
2.200000e+02	2.450000e+02	2.458650e+02	2.306598e+01	2.306598e+01
2.450000e+02	2.720000e+02	1.468734e+02	1.474898e+01	1.474898e+01
2.720000e+02	3.000000e+02	7.504363e+01	7.913318e+00	7.913318e+00
3.000000e+02	3.300000e+02	4.110762e+01	3.349098e+00	3.349098e+00
3.300000e+02	3.620000e+02	2.460344e+01	2.072654e+00	2.072654e+00
3.620000e+02	3.950000e+02	1.469676e+01	1.265702e+00	1.265702e+00
3.950000e+02	4.300000e+02	1.000269e+01	8.892260e-01	8.892260e-01
4.300000e+02	4.680000e+02	6.449620e+00	5.579016e-01	5.579016e-01
4.680000e+02	5.070000e+02	3.725526e+00	3.306663e-01	3.306663e-01
5.070000e+02	5.480000e+02	2.277073e+00	2.033639e-01	2.033639e-01
5.480000e+02	5.920000e+02	1.435859e+00	1.330076e-01	1.330076e-01
5.920000e+02	6.380000e+02	9.058148e-01	8.603474e-02	8.603474e-02
6.380000e+02	6.860000e+02	5.708064e-01	5.399614e-02	5.399614e-02
6.860000e+02	7.370000e+02	3.647552e-01	3.619814e-02	3.619814e-02
7.370000e+02	7.900000e+02	2.396395e-01	2.422088e-02	2.422088e-02
7.900000e+02	8.460000e+02	1.556954e-01	1.650145e-02	1.650145e-02
8.460000e+02	9.050000e+02	9.249055e-02	1.039118e-02	1.039118e-02
9.050000e+02	9.670000e+02	5.582966e-02	6.759939e-03	6.759939e-03
9.670000e+02	1.032000e+03	3.447595e-02	4.527075e-03	4.527075e-03
1.032000e+03	1.101000e+03	2.211067e-02	3.199404e-03	3.199404e-03
1.101000e+03	1.172000e+03	1.398225e-02	2.252656e-03	2.252656e-03
1.172000e+03	1.248000e+03	9.649750e-03	1.713413e-03	1.713413e-03
1.248000e+03	1.327000e+03	7.488311e-03	1.436989e-03	1.436989e-03
1.327000e+03	1.410000e+03	5.084757e-03	1.095949e-03	1.095949e-03
1.410000e+03	1.497000e+03	2.503552e-03	6.952825e-04	6.952825e-04
1.497000e+03	1.588000e+03	1.239137e-03	4.353192e-04	4.353192e-04
1.588000e+03	1.684000e+03	9.289458e-04	3.771168e-04	3.771168e-04
1.684000e+03	1.784000e+03	4.640058e-04	2.573742e-04	2.573742e-04
# END HISTO1D

# BEGIN HISTO1D /nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d09-x01-y01
IsRef=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d09-x01-y01
ScaledBy=2.0401330901222628e-07
Title=PowhegValidation
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	5.912921e+03	4.197581e+01	4.197581e+01
1.330000e+02	1.530000e+02	2.794140e+03	1.152366e+01	1.152366e+01
1.530000e+02	1.740000e+02	1.435582e+03	2.102435e+01	2.102435e+01
1.740000e+02	1.960000e+02	7.452909e+02	3.589324e+00	3.589324e+00
1.960000e+02	2.200000e+02	4.028564e+02	2.354446e+00	2.354446e+00
2.200000e+02	2.450000e+02	2.217692e+02	1.047661e+00	1.047661e+00
2.450000e+02	2.720000e+02	1.251823e+02	6.026873e-01	6.026873e-01
2.720000e+02	3.000000e+02	7.178393e+01	3.687835e-01	3.687835e-01
3.000000e+02	3.300000e+02	4.226307e+01	3.654349e-01	3.654349e-01
3.300000e+02	3.620000e+02	2.460821e+01	1.501622e-01	1.501622e-01
3.620000e+02	3.950000e+02	1.487840e+01	1.033499e-01	1.033499e-01
3.950000e+02	4.300000e+02	9.218703e+00	7.327174e-02	7.327174e-02
4.300000e+02	4.680000e+02	5.656568e+00	5.262006e-02	5.262006e-02
4.680000e+02	5.070000e+02	3.491633e+00	5.062732e-02	5.062732e-02
5.070000e+02	5.480000e+02	2.241355e+00	8.294896e-02	8.294896e-02
5.480000e+02	5.920000e+02	1.364234e+00	1.973472e-02	1.973472e-02
5.920000e+02	6.380000e+02	8.579574e-01	1.475397e-02	1.475397e-02
6.380000e+02	6.860000e+02	5.392056e-01	1.120309e-02	1.120309e-02
6.860000e+02	7.370000e+02	3.603865e-01	2.096400e-02	2.096400e-02
7.370000e+02	7.900000e+02	2.227372e-01	6.411414e-03	6.411414e-03
7.900000e+02	8.460000e+02	1.396056e-01	4.862663e-03	4.862663e-03
8.460000e+02	9.050000e+02	9.023527e-02	3.735541e-03	3.735541e-03
9.050000e+02	9.670000e+02	5.723055e-02	2.856591e-03	2.856591e-03
9.670000e+02	1.032000e+03	3.343420e-02	2.104501e-03	2.104501e-03
1.032000e+03	1.101000e+03	2.297333e-02	1.672163e-03	1.672163e-03
1.101000e+03	1.172000e+03	1.348615e-02	1.253194e-03	1.253194e-03
1.172000e+03	1.248000e+03	9.489484e-03	1.006109e-03	1.006109e-03
1.248000e+03	1.327000e+03	6.087824e-03	7.865844e-04	7.865844e-04
1.327000e+03	1.410000e+03	3.221837e-03	5.526501e-04	5.526501e-04
1.410000e+03	1.497000e+03	3.334049e-03	5.482441e-04	5.482441e-04
1.497000e+03	1.588000e+03	1.448804e-03	3.515051e-04	3.515051e-04
1.588000e+03	1.684000e+03	9.635102e-04	2.781581e-04	2.781581e-04
1.684000e+03	1.784000e+03	4.577785e-04	1.868892e-04	1.868892e-04
# END HISTO1D

