# BEGIN PLOT
DrawOnly=/REF/CMS_2016_I1459051/d13-x01-y01 /nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d13-x01-y01
Title=Inclusive AK4 jets, $2.5 < |y| < 3.0$
RatioPlotReference=/REF/CMS_2016_I1459051/d13-x01-y01
RatioPlot=1
LogX=1
LogY=1
RatioPlotYMax=2
XLabel=$p_{T}$ [GeV]
YLabel=d$^2\sigma$/d$p_{T}$d$y$ [pb/GeV]
LegendYPos=0.9
Legend=1
RatioPlotYMin=0.1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2016_I1459051/d13-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2016_I1459051/d13-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	2.070681e+03	6.556184e+02	6.556184e+02
1.330000e+02	1.530000e+02	1.112424e+03	3.096399e+02	3.096399e+02
1.530000e+02	1.740000e+02	5.100095e+02	1.537402e+02	1.537402e+02
1.740000e+02	1.960000e+02	2.576865e+02	8.673118e+01	8.673118e+01
1.960000e+02	2.200000e+02	1.169219e+02	4.176108e+01	4.176108e+01
2.200000e+02	2.450000e+02	5.397857e+01	1.635927e+01	1.635927e+01
2.450000e+02	2.720000e+02	2.921325e+01	9.241137e+00	9.241137e+00
2.720000e+02	3.000000e+02	1.848780e+01	6.238231e+00	6.238231e+00
3.000000e+02	3.300000e+02	7.600512e+00	2.254216e+00	2.254216e+00
3.300000e+02	3.620000e+02	2.893158e+00	9.123120e-01	9.123120e-01
3.620000e+02	3.950000e+02	1.509144e+00	4.903074e-01	4.903074e-01
3.950000e+02	4.300000e+02	8.400111e-01	2.859685e-01	2.859685e-01
4.300000e+02	4.680000e+02	3.000366e-01	1.005292e-01	1.005292e-01
4.680000e+02	5.070000e+02	1.129489e-01	4.096867e-02	4.096867e-02
5.070000e+02	5.480000e+02	5.649333e-02	2.073421e-02	2.073421e-02
5.480000e+02	5.920000e+02	2.035675e-02	8.842851e-03	8.842851e-03
5.920000e+02	6.380000e+02	4.562913e-03	2.528683e-03	2.528683e-03
6.380000e+02	6.860000e+02	1.492714e-03	8.928782e-04	8.928782e-04
6.860000e+02	7.370000e+02	5.574281e-04	4.626537e-04	4.626537e-04
7.370000e+02	7.900000e+02	7.210948e-05	1.189087e-04	1.189087e-04
# END HISTO1D

# BEGIN HISTO1D /nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d13-x01-y01
IsRef=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=/nfs/dust/cms/user/gunnep/Professor/CMSSW_8_1_0_pre6/src/PatrickBJets/PowhegValidation.yoda/CMS_2016_I1459051/d13-x01-y01
ScaledBy=2.0401330901222628e-07
Title=PowhegValidation
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
1.140000e+02	1.330000e+02	2.312683e+03	1.814872e+01	1.814872e+01
1.330000e+02	1.530000e+02	1.030171e+03	9.070864e+00	9.070864e+00
1.530000e+02	1.740000e+02	4.771238e+02	3.620001e+00	3.620001e+00
1.740000e+02	1.960000e+02	2.305416e+02	1.828453e+00	1.828453e+00
1.960000e+02	2.200000e+02	1.107832e+02	8.957559e-01	8.957559e-01
2.200000e+02	2.450000e+02	5.337548e+01	4.644127e-01	4.644127e-01
2.450000e+02	2.720000e+02	2.603319e+01	2.589447e-01	2.589447e-01
2.720000e+02	3.000000e+02	1.233125e+01	1.730458e-01	1.730458e-01
3.000000e+02	3.300000e+02	6.134933e+00	9.216725e-02	9.216725e-02
3.300000e+02	3.620000e+02	2.830334e+00	5.245067e-02	5.245067e-02
3.620000e+02	3.950000e+02	1.293338e+00	3.093714e-02	3.093714e-02
3.950000e+02	4.300000e+02	5.961846e-01	1.936911e-02	1.936911e-02
4.300000e+02	4.680000e+02	2.429112e-01	1.044006e-02	1.044006e-02
4.680000e+02	5.070000e+02	1.087430e-01	6.542142e-03	6.542142e-03
5.070000e+02	5.480000e+02	4.102315e-02	3.682029e-03	3.682029e-03
5.480000e+02	5.920000e+02	1.732473e-02	2.391547e-03	2.391547e-03
5.920000e+02	6.380000e+02	6.545085e-03	1.289472e-03	1.289472e-03
6.380000e+02	6.860000e+02	1.539885e-03	5.830427e-04	5.830427e-04
6.860000e+02	7.370000e+02	6.009512e-04	3.469833e-04	3.469833e-04
7.370000e+02	7.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

